Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
4,18183,1,0,3,1,0,3,7881,238,422,1,13664,5,3,13.622203799218738,1,1,2,1
5,19155,0,1,6,1,0,4,37802,175,402,1,15994,6,0,13.625306851087116,1,1,2,1
0,24005,2,0,1,1,0,2,9451,89,364,0,11206,6,0,14.306302358933324,1,0,2,1
0,19475,0,4,4,2,0,4,22925,147,556,1,1055,6,3,18.70946666159111,1,2,1,1
0,9937,2,5,0,2,1,3,27315,56,504,2,9893,5,2,16.977482496741302,0,0,2,1
4,1012,0,2,0,0,0,0,19938,135,130,2,10210,4,3,15.954422058940413,2,0,1,0
2,13454,0,2,7,0,0,4,41216,289,448,1,13901,9,0,16.455703179594124,1,0,1,0
5,30934,2,2,1,2,0,3,37430,43,656,0,1300,2,1,12.128403743453015,0,1,1,1
3,18727,1,2,5,1,1,0,24075,8,358,0,6719,8,1,11.558026772712031,2,0,2,1
0,4405,1,2,8,0,0,2,2174,128,381,2,13728,8,1,12.78724817721793,2,1,1,0
0,12359,0,5,9,1,0,1,14462,223,186,2,19370,4,1,15.544371498504372,1,1,1,1
1,25935,2,3,3,2,0,1,9943,95,270,0,16478,5,1,16.38821978073295,2,1,2,1
0,20023,2,4,7,2,0,3,33418,326,507,2,5993,9,0,13.925943354074256,2,1,2,1
1,4742,1,4,2,2,1,4,18004,12,364,2,17974,2,1,11.613510563693447,1,1,0,1
1,13421,2,5,5,0,1,4,10133,38,387,1,15231,7,2,16.33998023040846,2,0,1,1
3,19819,2,5,0,2,1,2,22710,171,523,2,4390,3,3,10.072711963951075,0,2,2,1
0,21754,2,0,6,0,1,0,1593,239,162,0,20061,6,3,13.736122939922982,2,0,1,0
2,5012,0,0,2,1,0,1,40611,177,470,1,14423,2,3,10.00713008268694,2,1,1,0
0,9311,2,3,2,0,0,1,1930,299,636,1,20795,9,1,16.24308027793596,0,0,1,1
0,7546,1,1,6,2,0,1,29521,77,148,2,8301,4,1,15.679092424869827,1,2,1,1
2,9782,2,1,5,0,1,0,24871,239,646,1,12782,0,2,17.481080313313978,2,0,2,1
3,20996,0,3,1,0,0,0,8019,106,3,0,6974,5,0,10.73770289647689,2,0,0,1
2,31458,0,0,9,1,0,2,4028,31,532,0,16048,9,3,16.22524022193386,2,1,2,1
0,28094,2,1,6,1,0,3,30638,74,478,1,14593,4,1,13.427150415825206,2,0,1,0
1,2514,2,0,1,0,1,4,20067,255,55,1,4572,5,3,13.85904926087158,0,2,2,1
1,12659,1,5,6,1,0,0,11994,209,571,2,19323,7,2,17.03695635141876,2,1,0,1
2,4195,1,5,8,1,0,3,24955,211,295,1,7916,8,0,19.18580254211249,0,1,2,1
2,12445,1,4,1,1,1,1,21664,53,589,1,10836,7,1,19.336317068716767,0,2,2,1
3,22335,2,1,7,2,1,4,40151,267,213,1,18804,2,2,11.276520705576068,1,0,0,0
3,23948,1,5,6,0,0,4,42401,158,585,2,6707,3,2,19.82641607671126,1,0,2,1
2,1986,0,1,2,2,1,1,42013,285,390,0,10188,3,1,15.154138817394893,0,2,2,1
3,1996,2,4,7,2,1,0,3283,91,2,0,17071,1,3,11.91281596163386,0,2,1,1
2,1665,1,5,3,2,1,4,24672,234,598,2,7908,8,0,16.880977682821314,1,0,1,1
4,4904,2,4,4,1,0,0,36104,142,24,1,2961,7,3,17.21332782259839,2,1,0,1
3,22746,1,1,8,0,1,0,14289,69,241,0,17290,9,1,14.046529451554871,0,1,1,0
4,16187,2,4,7,0,0,3,5347,276,205,0,9931,1,3,16.367697300739486,1,2,2,1
4,11783,0,2,9,0,1,0,10533,154,519,2,14920,9,2,16.369857825036675,0,0,1,1
4,8632,2,1,8,2,0,1,4852,91,524,0,9722,3,3,17.981249349669266,1,1,0,0
4,4776,2,1,8,2,1,2,37924,318,652,0,2631,2,3,13.509062454786676,2,1,0,0
3,23103,0,1,3,2,1,1,36959,201,285,0,19966,8,1,12.106556064051864,1,2,0,1
4,28235,1,3,2,0,1,3,37729,323,38,2,5052,8,2,13.33983059536282,1,2,1,1
2,21578,1,5,8,1,1,4,2712,199,179,1,16968,1,2,13.18937865102377,1,1,0,1
2,29760,2,4,8,2,1,1,31325,216,358,0,17080,5,3,10.890056814062133,1,2,2,1
4,11924,1,3,0,1,1,2,20489,143,83,1,3286,7,2,17.310561417100615,0,1,2,1
2,18018,1,2,2,1,0,1,37068,88,330,2,15093,6,0,10.353898677964546,2,0,2,1
2,27296,1,5,4,0,0,4,37129,181,65,1,10891,5,1,18.158822746507163,0,1,2,1
1,26954,0,2,1,0,1,0,30369,95,464,0,19315,5,0,19.536588717956327,1,0,0,0
4,17581,1,2,1,0,0,2,39155,276,505,1,15180,3,3,10.061084642926156,1,2,0,1
2,11136,1,0,2,2,1,0,22390,221,373,2,4470,8,0,13.941041474381226,1,2,1,1
2,1160,1,4,1,1,1,4,16952,210,377,2,1374,3,0,12.018138998031931,0,0,0,1
2,2518,1,1,1,1,1,1,31851,61,45,0,4909,9,1,19.246289889121925,0,0,2,1
2,4541,0,2,8,0,1,0,24844,15,126,2,19881,0,0,11.450871950993031,1,0,2,1
5,14883,1,3,9,1,1,4,17999,77,647,2,20833,7,3,17.001229591537264,0,0,1,1
0,21350,0,1,9,2,1,1,35942,232,93,2,13571,6,0,15.679263236385978,1,0,1,0
0,18945,0,4,9,1,1,4,37812,46,156,0,9789,9,3,16.344215392701663,0,1,1,1
2,31265,2,5,8,0,0,1,36267,254,189,2,1757,9,3,12.514466045701472,0,0,1,1
2,23375,2,4,2,2,0,2,33759,162,361,0,20725,1,0,15.800844952376991,0,1,1,1
5,17303,0,1,0,0,1,4,26897,330,20,1,10954,9,3,13.412834250216203,1,0,0,1
4,18095,2,5,7,0,1,4,34660,146,100,2,18305,7,0,11.8992712531565,0,0,2,1
5,3724,2,5,6,2,0,1,21138,180,492,2,7653,0,0,17.9461340854521,2,2,2,1
5,12541,2,5,3,2,1,3,40080,195,622,1,14838,7,2,15.87249627542825,1,1,1,1
2,16440,2,3,2,1,1,1,38372,329,176,1,4979,9,3,11.37386001205253,2,2,2,1
1,25865,2,3,0,2,0,2,36558,62,419,0,9297,2,3,16.365948363560694,0,1,2,1
1,28593,2,4,0,1,1,3,4156,159,382,1,8961,0,2,12.77614740159868,0,1,0,1
4,30280,2,5,5,0,0,1,8496,8,338,2,19620,8,2,13.772926184443731,1,2,2,1
3,4324,2,5,4,2,0,3,17382,281,67,0,9560,7,0,17.353234060008838,1,0,1,1
2,13613,2,4,5,0,0,1,27274,108,655,0,18089,7,1,18.952596815270844,2,2,2,1
4,19828,2,4,4,0,1,4,36019,335,284,1,17017,6,0,13.99514700915299,2,0,1,1
4,25517,0,5,3,0,1,1,22617,254,193,2,20863,4,1,11.109995271764324,2,0,2,1
5,18781,2,2,3,2,0,3,21090,249,237,1,2879,1,0,15.75358033780386,0,1,0,1
1,11465,1,5,2,2,0,0,28575,195,85,0,6644,2,2,18.152572237303144,0,0,0,1
5,24548,2,4,6,0,0,4,17558,45,184,0,10711,7,3,15.986117909313318,2,0,1,1
5,7867,2,4,5,1,1,0,36534,204,515,1,20653,3,1,16.872000430230923,0,2,1,1
4,468,2,3,2,1,0,4,23813,193,568,2,6621,0,2,14.465219495372828,0,1,1,1
2,8603,0,0,3,0,0,4,38383,274,69,1,9128,6,2,15.960063981494756,0,1,0,0
5,16731,1,3,8,0,1,2,3672,105,448,1,595,5,0,11.574228905648845,1,1,1,0
0,15433,1,3,7,1,0,0,21417,328,358,1,11336,1,1,19.41521489199848,2,2,2,1
5,9233,2,2,3,2,1,4,16737,203,163,1,18926,4,0,19.267243637507903,2,2,0,1
3,29513,2,5,7,2,1,0,19927,13,593,2,12585,9,1,11.692250717044162,2,2,0,1
1,3920,2,4,2,1,1,1,17078,319,346,2,18933,8,3,17.07211948086325,2,0,1,1
2,10614,2,2,8,0,0,2,15556,130,199,1,14399,5,3,16.007169860706895,0,1,2,1
5,4924,0,0,2,2,0,1,32555,270,181,0,7469,3,2,19.57604580572438,0,0,2,1
5,25582,0,2,9,0,1,2,35884,206,108,2,914,9,1,17.830175806265316,0,0,2,1
4,27358,2,5,1,1,1,3,16767,118,635,1,20771,5,2,15.758918889855355,1,1,1,1
0,10235,0,1,5,0,0,4,4721,301,177,1,14528,7,2,15.69924494434027,2,1,1,1
2,23495,2,2,7,1,1,1,11965,245,365,1,13784,0,2,12.955652351887506,0,1,0,1
3,20304,1,3,1,2,0,0,39041,82,313,0,10766,0,1,16.364930684192693,2,1,2,1
5,918,1,3,9,1,1,0,21047,271,173,0,972,0,3,16.29241727393191,0,2,1,1
2,18258,1,2,6,1,0,0,8736,284,189,0,2517,4,1,10.767684969545638,1,2,1,1
4,3804,1,2,8,0,0,0,8066,325,633,0,14371,6,0,14.75172259226462,2,2,0,1
4,3927,1,5,5,0,1,1,36795,257,410,0,3161,1,3,12.462210705367337,1,2,1,1
2,25943,2,0,2,1,1,2,21413,218,117,2,4109,5,0,13.067779287695538,1,1,2,1
3,13313,1,0,0,1,0,0,627,302,187,1,5287,4,0,11.7108971059839,1,0,1,0
2,6704,1,5,9,1,0,1,25330,144,37,2,17876,0,1,17.493788725381567,2,1,2,1
1,29663,2,0,4,0,1,3,6940,36,480,0,3163,9,3,16.095114492177608,0,2,1,1
2,1211,1,0,0,0,1,1,9811,53,337,1,20498,3,2,10.894890961640616,2,0,2,1
5,28044,0,4,9,1,0,2,41239,2,630,1,20121,0,2,19.21368016131555,1,1,0,1
1,9898,2,5,8,1,1,0,2324,203,224,0,4751,8,1,18.04092205281441,0,2,1,1
1,30398,0,0,3,0,1,4,12848,239,330,0,4735,2,2,14.296702673378745,1,1,1,0
5,13634,1,5,7,0,1,3,8179,151,130,2,17976,0,3,15.39548558884536,1,1,1,1
1,14049,1,0,6,1,1,3,34443,77,127,2,15712,0,3,11.05103021998263,0,2,2,1
1,12388,1,0,4,1,0,1,8671,59,314,2,11988,4,2,18.500744788979954,1,0,1,0
5,19591,1,0,6,1,1,0,6537,167,462,0,13119,1,2,18.29758350300189,1,1,2,1
2,19204,0,4,6,2,0,3,10819,184,299,2,7686,5,1,13.575805823193924,0,0,2,1
2,27277,0,0,8,1,0,0,34141,117,53,2,2007,8,3,15.624582567961378,2,2,0,1
0,22994,2,3,4,0,1,0,15711,67,36,1,18389,8,1,15.606944696847382,2,2,1,1
5,18552,1,5,3,0,1,3,14096,293,583,0,12343,9,1,18.970313099195906,0,2,0,1
2,20131,1,5,4,0,1,4,24241,329,149,2,11018,4,2,19.51040895815779,1,0,1,1
1,10057,2,1,8,1,0,0,3367,248,448,2,1434,7,3,14.203909812584808,2,1,1,1
0,9152,2,5,8,1,0,1,20094,43,91,2,5310,3,2,14.780703812340864,1,0,1,1
0,20922,0,0,9,1,0,0,25787,44,13,2,13750,7,2,16.76875122270514,1,1,2,1
4,9913,0,3,3,1,1,4,9486,55,156,1,695,0,0,11.940270194658346,0,1,1,1
2,29958,1,0,4,2,0,3,24925,6,569,1,6253,0,1,19.076243307445356,1,1,1,0
5,20587,0,4,4,2,1,2,41367,31,671,2,6818,5,0,16.893005951253762,1,0,2,1
2,9358,0,3,8,1,0,1,15618,18,387,0,20391,8,2,15.07604497722743,0,2,1,1
5,17094,2,4,7,2,1,3,2840,145,292,1,16834,6,3,10.480249610488016,1,2,0,1
5,16801,1,2,5,0,1,0,37820,310,446,0,17868,0,3,13.00780605816708,1,2,2,1
3,25470,1,4,0,1,0,2,38154,240,183,0,14894,3,1,18.281360765292085,0,1,2,1
1,12751,0,2,9,2,1,0,10031,220,494,0,21193,3,3,14.00890952258789,1,0,0,0
1,20047,2,4,8,0,0,2,19282,297,316,0,14125,6,3,14.400815596485993,0,1,2,1
5,19578,1,0,0,1,0,3,15661,94,693,2,20781,2,0,10.83736296999612,2,1,0,0
3,7603,0,4,5,2,1,0,17051,16,9,2,473,8,1,14.677717710923472,0,1,1,1
4,29657,2,4,0,2,1,2,4993,329,54,2,7491,5,0,18.226589836692632,0,1,1,1
2,3034,0,2,0,1,1,1,41490,53,374,0,3283,6,0,15.13607714314015,0,1,1,0
3,22587,0,3,8,0,1,3,7943,205,244,0,803,7,1,19.14749223754703,0,1,2,1
0,20084,2,4,1,0,0,2,471,9,9,0,15967,0,0,11.853098160205011,2,2,0,1
1,6861,2,0,8,2,1,0,21040,101,284,0,5492,4,1,15.288471729325025,0,0,0,0
4,1500,1,5,7,2,1,0,42392,41,423,2,15164,8,0,18.508562686306757,2,1,1,1
0,8506,1,1,2,2,1,1,28152,94,419,0,16620,4,3,11.135315499387158,2,0,0,0
1,15829,2,5,2,1,0,0,35814,319,263,1,18876,2,1,15.43661304859226,1,0,1,1
5,24371,0,5,7,2,0,4,26979,190,696,2,15680,9,1,16.333867852783168,0,2,0,1
4,5666,0,0,3,0,0,2,8448,65,217,2,15979,1,1,11.582736725366637,1,1,2,1
5,22756,2,2,5,0,0,2,11858,157,530,2,3791,2,1,12.048292494153976,2,2,2,1
4,16770,2,4,1,0,0,1,4855,222,17,2,12257,9,3,11.79798788773409,1,1,2,1
5,20959,2,1,2,2,0,1,26875,291,557,0,9060,2,3,10.336039469435224,1,2,2,1
1,31124,2,1,9,2,1,4,13896,60,637,1,12218,7,1,10.153529873729598,2,1,0,0
3,6932,1,0,8,1,0,1,26749,227,128,1,15137,3,3,14.25369010310298,0,0,1,0
5,30919,1,4,2,1,0,0,3911,161,228,0,11177,2,3,12.783378549894245,2,2,1,1
3,6521,1,0,0,2,1,1,9584,71,647,0,5964,5,1,19.50256840761938,1,0,0,0
3,6037,1,2,8,0,1,2,32820,90,63,0,21120,4,0,14.909019546421192,0,0,1,0
1,6571,1,5,8,2,1,2,1788,145,107,2,8563,1,1,19.56727018462715,0,1,2,1
3,27398,2,1,3,1,1,0,40694,174,382,0,14944,5,0,17.267204649691283,1,2,2,1
5,3346,2,3,0,0,1,0,4120,129,85,2,3768,8,2,12.942988760010136,0,0,1,1
1,9901,2,5,8,0,0,1,14982,102,185,0,15895,7,1,18.77187052408024,2,2,2,1
0,25915,2,0,4,2,0,0,31697,168,622,1,19817,8,2,16.92109399764894,0,0,0,1
3,22235,2,5,0,0,0,1,34789,194,213,1,2093,9,1,13.899772184862185,0,2,2,1
5,20993,0,0,4,2,1,1,32058,200,150,1,6377,7,0,11.61964473119365,2,1,2,1
1,17543,0,5,1,1,0,0,19546,4,381,1,17763,7,3,13.35529026834183,2,0,2,1
2,11965,2,5,4,2,1,3,32132,144,124,2,2829,6,1,13.378412348747544,1,2,1,1
0,29152,2,3,8,2,0,0,27749,145,626,0,4741,3,2,12.964698020383144,2,1,2,1
4,534,2,2,0,2,0,4,16229,12,494,0,2351,6,3,15.996824663843126,1,0,2,1
2,6793,1,2,7,2,0,3,27772,296,603,1,15384,8,3,12.098816706400369,0,2,2,1
3,16234,0,2,4,0,0,2,11929,289,103,1,5935,6,0,17.591731264548976,2,0,0,0
3,10349,0,0,2,1,0,3,41065,252,307,2,17367,1,1,14.336614549694469,1,0,2,1
0,13476,1,1,5,2,1,4,33460,322,625,1,20464,1,0,14.85946698160075,0,0,0,0
3,9742,0,1,8,2,0,1,2191,319,635,1,1935,8,2,15.662788134625323,2,1,2,1
4,24430,0,5,6,2,1,4,33906,199,686,0,5399,9,3,17.445449763535937,2,0,1,1
5,2511,0,3,5,1,1,3,39505,165,440,1,1091,7,2,12.261193827507942,2,1,2,1
1,8232,2,3,5,0,0,3,13035,236,351,0,3598,1,3,10.657793999163296,1,2,2,1
0,10471,2,1,9,2,1,3,27942,215,223,2,5990,8,2,15.341126543794392,2,2,1,1
